originator,OML.aic,OML.ols,OML.sp,GML.aic,GML.ols,GML.sp,Competitive Suppression.aic,Competitive Suppression.ols,Competitive Suppression.sp,Direct Suppression.aic,Direct Suppression.ols,Direct Suppression.sp,Generalized Competitive Suppression.aic,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.sp,Generalized Direct Suppression.aic,Generalized Direct Suppression.ols,Generalized Direct Suppression.sp,ROE Competitive Suppression.aic,ROE Competitive Suppression.ols,ROE Competitive Suppression.sp,ROE Direct Suppression.aic,ROE Direct Suppression.ols,ROE Direct Suppression.sp
ROE Competitive Suppression,582.068343947045,-320.367501176903,-308.473280927886,626.340979001776,-352.679783929509,-307.305036279928,534.924022250637,-285.750523691582,-281.249204450582,598.97163556437,-330.918878321158,-316.446767069014,601.998366983621,-323.631615198253,-292.724272444071,627.955195552928,-351.087708493427,-307.459576448189,597.651252827102,-281.458495746132,-279.843587306509,698.99123297695,-369.091285264648,-322.04719706163
ROE Direct Suppression,589.749292414964,-317.995598949329,-314.292812463359,631.333218646947,-374.020487611415,-324.875429345038,608.74341057376,-329.831651913826,-327.637560286077,578.837927736733,-309.958521724144,-305.586020897953,661.766335757642,-406.782560526676,-338.770820375942,620.059096281215,-361.45647848087,-316.235976196998,699.859676973689,-359.575126570097,-353.501767478274,664.725425918238,-368.361557328884,-308.290670919445
OML,283.706789398741,-160.31312585255,-155.316667264503,333.619906528745,-188.640932562065,-157.43059765886,388.902910923046,-216.652704437469,-204.994567623123,311.483993312116,-174.773062153266,-171.112665192532,447.372444553683,-232.650009410397,-206.61669699183,354.008212851653,-190.502624156189,-170.014622472363,562.568231790814,-282.244459005193,-276.03734495805,551.498961289379,-727.364283787794,-180.820963699568
GML,299.444760873252,-158.65570460936,-156.749189817579,143.45602824293,-92.1887143580565,-79.4006217989813,334.127232940797,-187.981432068116,-179.071101247151,354.348293059492,-190.616392848317,-187.436465255836,315.273650377961,-188.112727229835,-159.974169312703,175.338122080713,-138.009841220707,-104.660535288596,519.00943860705,-258.091662145172,-253.540742833019,584.069645038028,-560.0515780644,-209.565462848518
Competitive Suppression,380.856437100017,-212.501382961563,-203.43072803916,407.488200574101,-258.211884397881,-200.989373167966,322.301737147628,-175.833875339076,-170.19695260494,419.710043300963,-232.808917908454,-224.171606225717,366.240604253842,-235.991119751206,-172.018706311486,429.236881096052,-249.70826110458,-208.528080103676,484.343733854014,-238.689024888865,-233.418933275896,590.786283493658,-354.660320039316,-251.39166818008
Direct Suppression,386.920755809872,-220.676572527814,-208.675782816661,437.648533287142,-322.128949811917,-214.839328151723,438.294418065089,-245.773001763461,-238.3344577441,368.328874701595,-211.28828522067,-195.345412725618,491.456248190203,-291.534235487876,-243.128642367126,426.25341508809,-265.486250915592,-202.845235190531,589.914861385744,-302.262219360112,-294.748640355635,487.808812609399,-304.046832983606,-206.945337202613
Generalized Competitive Suppression,396.063125108671,-217.747379616786,-208.007156586123,360.725340988533,-210.819087405626,-183.948294728408,321.600206064352,-181.342218081167,-176.449681078078,438.156392872596,-250.059762848316,-230.62971656293,300.230843399918,-177.906128638634,-155.188638783002,374.995264598394,-245.056516820188,-190.901854585103,467.936754903825,-226.874665477924,-224.82090133798,598.472575640137,-432.662094732112,-255.151775301906
Generalized Direct Suppression,326.447773615447,-182.209498249679,-174.252021104668,250.936372636058,-153.336566229653,-131.233968988885,355.014013779695,-208.379419891512,-187.880005035186,356.568453491784,-188.204668339129,-186.207245657222,352.13480371154,-220.054135420332,-175.080592811937,201.437437807106,-124.256775702572,-107.22723069894,522.951272030248,-263.742620980611,-255.364018076696,518.696660302854,-436.852813602625,-200.35118004851
ROE Competitive Suppression,569.019630626373,-297.788553031471,-293.363329187691,603.048976566849,-340.258458839786,-291.239886378571,523.117912403727,-281.607953161511,-272.312783756271,588.228877190906,-307.825145571607,-303.650390290054,575.065847408108,-300.882243097548,-277.98649480815,607.579846941964,-400.309179496016,-292.537533844955,578.219288437973,-292.52543019318,-284.228171812277,716.37664717314,-373.403588466598,-310.687242212436
ROE Direct Suppression,569.300061581613,-309.486583410169,-308.70450619393,636.097618774575,-348.322067029242,-326.295693036741,602.763540981915,-333.94696715969,-328.946544468516,557.44569768159,-299.592054368637,-298.27452205957,670.252137563839,-366.619407193964,-338.377554073089,622.945824343912,-345.998524207527,-318.950981650297,700.568276710603,-358.81768505018,-356.250799733298,640.355241884062,-346.760935841098,-303.766863306699
